epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,9507.48,1.15483,0.52448,0.9913,0.59964,0.42166,0.42486,0.27753,1.45636,2.72743,1.33879,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,9621.59,1.14222,0.5174,0.98452,0.7022,0.42732,0.41927,0.27633,1.49307,5.82411,1.36293,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,9735.73,1.13899,0.51623,0.98809,0.7239,0.43394,0.43851,0.29204,1.47395,3.76104,1.35533,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,9851.26,1.14232,0.51635,0.9884,0.75355,0.41516,0.46912,0.30296,1.4931,3.02889,1.36282,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,9964.87,1.13285,0.5097,0.98282,0.78817,0.40072,0.46375,0.30116,1.45552,2.90571,1.3332,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,10078.6,1.13278,0.51233,0.98506,0.77103,0.43277,0.47375,0.29961,1.45381,2.72996,1.33567,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,10191.6,1.1387,0.51285,0.98584,0.8099,0.40604,0.46434,0.29734,1.48514,2.7782,1.34697,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,10305.4,1.13233,0.51109,0.98199,0.82101,0.41227,0.48008,0.30194,1.45516,2.27401,1.33754,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,10419,1.1213,0.50935,0.98035,0.76862,0.42455,0.4814,0.31066,1.44241,2.30127,1.30466,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,10532.3,1.13284,0.50736,0.98557,0.71906,0.44537,0.49669,0.31855,1.41873,2.15252,1.29993,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,10644.8,1.12623,0.50797,0.97813,0.80955,0.39591,0.47665,0.30725,1.47212,2.17299,1.33388,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,10758,1.11582,0.50305,0.97609,0.60168,0.4296,0.45626,0.29588,1.464,2.36879,1.33745,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,10869.9,1.11679,0.50119,0.97705,0.73354,0.41516,0.47865,0.31273,1.47777,2.50066,1.33722,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,10981.7,1.1184,0.50189,0.97676,0.79589,0.39711,0.45033,0.29764,1.49696,3.27554,1.34131,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,11094.5,1.1126,0.49944,0.97984,0.7279,0.40072,0.45298,0.29967,1.44813,4.29044,1.31199,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,11205.8,1.10702,0.49845,0.97577,0.6939,0.43827,0.48308,0.31804,1.45366,2.28348,1.31122,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,11317,1.10699,0.49667,0.97454,0.69296,0.4491,0.4872,0.31628,1.44232,2.27749,1.32087,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,11429.3,1.1156,0.49877,0.97962,0.61608,0.43827,0.46954,0.30589,1.44791,2.25226,1.32825,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,11541.7,1.11057,0.49768,0.97495,0.70087,0.42527,0.48185,0.31716,1.44242,2.2588,1.32604,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,11654.2,1.10545,0.49196,0.97558,0.80353,0.39866,0.48361,0.31386,1.4449,2.37251,1.33074,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,11767.2,1.10584,0.4919,0.97287,0.7201,0.42909,0.48246,0.31539,1.4262,2.29196,1.30717,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,11879.9,1.10048,0.49215,0.97285,0.72928,0.41877,0.47056,0.30349,1.42423,2.21296,1.31163,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,11994,1.09318,0.49037,0.97118,0.74408,0.43321,0.4844,0.31244,1.45645,2.25238,1.3261,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,12107.4,1.09721,0.48795,0.97352,0.69894,0.41949,0.46494,0.30625,1.48399,2.67761,1.3456,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,12221.5,1.08761,0.48404,0.97279,0.78194,0.38059,0.46272,0.30362,1.46456,2.41666,1.33793,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,12335.7,1.09851,0.4878,0.96762,0.75326,0.41227,0.48312,0.3133,1.47764,2.21945,1.3521,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,12447.9,1.09516,0.485,0.97333,0.75834,0.40578,0.47805,0.31094,1.48817,2.21524,1.36528,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,12562.4,1.08408,0.48398,0.96659,0.79913,0.38917,0.47032,0.30847,1.48322,2.40492,1.36072,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,12674.4,1.08863,0.47984,0.96909,0.74699,0.39223,0.46235,0.30639,1.4693,2.63554,1.34737,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,12789.1,1.08291,0.47861,0.96597,0.69809,0.41083,0.46494,0.31038,1.47425,2.53738,1.34798,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,12901.9,1.07908,0.47793,0.96456,0.71793,0.40361,0.45583,0.30553,1.47684,2.47544,1.34652,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
115,13015.7,1.08396,0.47897,0.96672,0.68982,0.42069,0.45729,0.30545,1.47278,2.48058,1.3494,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
116,13131.1,1.06534,0.47177,0.96457,0.70848,0.40866,0.46606,0.30767,1.46515,2.41929,1.34843,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
117,13244.9,1.0734,0.47475,0.96432,0.74179,0.40655,0.46431,0.30592,1.44054,2.3625,1.32441,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
118,13358.5,1.06844,0.47412,0.95888,0.73972,0.39206,0.45365,0.29614,1.45862,2.89146,1.33711,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
119,13472,1.07098,0.47383,0.96036,0.78438,0.38484,0.4545,0.29731,1.45854,3.32091,1.33869,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
120,13586,1.06557,0.47101,0.96167,0.64251,0.42166,0.4447,0.28776,1.4801,2.65343,1.35126,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146
121,13700.6,1.06244,0.4653,0.96247,0.68941,0.40433,0.44346,0.29146,1.48442,2.60299,1.34639,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
122,13815.7,1.06848,0.46772,0.96084,0.71317,0.40213,0.45097,0.29707,1.47422,2.60346,1.33497,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014
123,13929.1,1.05929,0.46796,0.9575,0.73304,0.40643,0.45628,0.29971,1.47098,2.53307,1.33973,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
